University;Faculty;Qulification;Year;Modules;Module Code;SAQA credits;Description
null;null;null;null;Psycho-Social Sciences I;PSS205D;12;To prepare the student to apply knowledge, skills and attitudes in psychology to effectively, and professionally interact with individuals, families and communities, throughout their life span, in a variety of work, therapeutic and health care settings. A student will be able to apply his/her knowledge of the bio-psychological basis for human behaviour, human development, personality, language and through, learning and memory, intelligence, motivation and emotion, social behaviour, stress, coping and health, professional and therapeutic relationships to personal and professional relationship. Upon completion of the module, the student will be able to understand and apply the psychological perspectives to the in the field of kinesiology and coaching science.
null;null;null;null;Sport Practical II;SPL206D;24;"A practical learning module which equips a student with knowledge, skills and values to safely promote physical activity, participation and performance in four nationally-recognised sporting codes. The purpose of this
module is to offer students the needed theoretical knowledge, practical experience and relevant designation
to render services as a coach."
null;null;null;null;Sport Studies II;SPS216D;6;"The student learns to appreciate the Sociological aspects of human behaviour in the broad field of Sport Studies, and specifically in Sport and Recreation. It enables him/her to appreciate the social significance of sport and recreation in modern societies, recognise the structures, understand relationships and problems in sport and work within this social framework for a better understanding of the phenomenon sport. Identify and solve problem by using critical and creative thinking. With this knowledge, the students will be able to describe the processes of participation in sport and be able to explore equity issues regarding gender in sport; be able to explain the impact of social class in sport; the relationship between sport and economy; and discuss the role of media and politics and other controversies in sport."
null;null;null;null;Sport Science II;SSC206D;18;A module which combines the concepts central to periodisation and training theory with contemporary advances in sport science, physiology, and coaching. This will provide the students with a better understanding of the principles, objectives, and components of a successful long-term training programme and how to plan the right programme to achieve optimal athlete performance goals. The module will also provide a sound understanding of proven strategies for optimal peaking and specifics on training for better motor ability, working capacity skill effectiveness, and psychological adaptability.
null;null;null;3;Adaptive Physical Activity I;APV315D;6;A module that equips students with knowledge, skills and values to safely promote health, physical activity, participation and sport performance for people with disability. The purpose of this module is to offer students the needed theoretical knowledge, practical experience and relevant designation to render services in adapted physical activity
null;null;null;null;Coaching Science III;COC306D;20;The purpose of this module is to prepare the student to facilitate learning and coaching within both the recreation and competitive sport contexts by understanding the unique physical characteristics as well as demands of athletes. The student will be able to apply his/her knowledge of the skills performers to optimise their sporting abilities and assist them in meeting their highest potential.
null;null;null;null;Exercise Anatomy and Physiology II;EXE306D;18;"This module enables students to apply their knowledge to demonstrate an understanding of the acute and chronic physiological responses to exercise, as well as the physiological basis of exercise performance. It examines the metabolic supply of energy to exercising muscle; the acute responses of the cardiovascular, respiratory, thermoregulatory, neural, endocrine and muscular systems to exercise; and the chronic physiological responses to exercise training. In addition, it focuses on exercise related age and sex consideration and cardiovascular disease, obesity and diabetes in relation to physical activity"
null;null;null;null;Nutrition I;NUT305D;12;An introduction of the core nutrients to students that is recommended to maintain good health, to ensure the application of appropriate nutritional knowledge in the design of training programmes and the provision of advice on nutrition, health and exercise.
null;null;null;null;Sport and Exercise Psychology I;SEP306D;18;To prepare the student to independently design basic outcome-specific psychological skill training interventions and provide advisory service on psychological aspects affecting sport participation and performance. The student will be able to apply/import his/her knowledge of general psychological theories and research related to sport and exercise behaviour to individual and team sport participants at recreation, competitive, novice, and/or professional level.
null;null;null;null;Sport Practical III;SPL306D;26;A practical learning module which equips a student with knowledge, skills and values to safely promote physical activity, participation and performance in four nationally-recognised sporting codes. The purpose of this module is to offer students the needed theoretical knowledge, practical experience and relevant designation to render services as a coach.
null;null;null;null;Sport Science III;SSC306D;20;A module that builds on knowledge of exercise physiology I and Sport Science II by exploring in greater depth how the body adapts to chronic exercise, the mechanisms responsible and the impact on sports performance. This module evaluates current practice with respect to training and evaluation of athletes sport performance. Students will have the opportunity to conduct sport assessments in the form of field tests following international sport testing guidelines. An understanding of this module will allow the student to identify the strengths and weaknesses of an athlete and to interpret test data effectively in order to prescribe the necessary interventions.
